id,category,question,expected_tool,expected_value,expected_unit,should_reject
1,fact,寒武纪2026H1营业收入是多少？,query_metric,59.96,亿元,false
2,fact,寒武纪2026H1归母净利润是多少？,query_metric,23.11,亿元,false
3,fact,寒武纪2026H1经营活动现金流净额是多少？,query_metric,3.11,亿元,false
4,fact,寒武纪2026H1资产总计是多少？,query_metric,181.99,亿元,false
5,fact,寒武纪2026H1净利率是多少？,query_metric,38.54,%,false
6,fact,寒武纪2026H1营收同比增速是多少？,query_metric,108.13,%,false
7,fact,寒武纪2026H1资产负债率是多少？,query_metric,25.48,%,false
8,fact,寒武纪2026H1归母净利润同比增长多少？,query_metric,122.61,%,false
9,fact,寒武纪2026H1经营现金流同比下降多少？,query_metric,-65.83,%,false
10,compute,寒武纪2026H1归母所有者权益占资产总计的比例？,compute,74.48,%,false
11,compare,寒武纪2026H1和2025H1营业收入差多少？,query_metric,31.15,亿元,false
12,compare,寒武纪2026H1净利率比2025H1高多少？,query_metric,2.50,%,false
13,compare,寒武纪2026H1经营现金流比2025H1少多少？,query_metric,6.00,亿元,false
14,reasoning,寒武纪2026H1营收增长的主要原因是什么？,search_text,-,-,false
15,reasoning,寒武纪2026H1经营现金流为什么比2025H1下降？,search_text,-,-,false
16,reasoning,寒武纪2026H1营业收入为什么增长？,search_text,-,-,false
17,fact,寒武纪2026H1毛利率是多少？,query_metric,55.25,%,false
18,fact,寒武纪2026H1营收是多少？,query_metric,59.96,亿元,false
19,fact,寒武纪2026H1净利润是多少？,query_metric,23.11,亿元,false
20,fact,寒武纪2026H1总资产是多少？,query_metric,181.99,亿元,false
21,fact,寒武纪2026年半年报营业收入是多少？,query_metric,59.96,亿元,false
22,mixed,寒武纪2026H1经营现金流比2025H1少多少？为什么？,query_metric+search_text,6.00,亿元,false
23,reject,寒武纪2026H1每股收益是多少？,-,-,-,true
24,reject,寒武纪2025年全年营业收入是多少？,-,-,-,true
25,reject,寒武纪2026H1ROE是多少？,-,-,-,true
26,reject,寒武纪明年股价会涨吗？,-,-,-,true
27,reject,寒武纪2026H1流动比率是多少？,-,-,-,true
